OriginalPolyline,EdgeIds
"[[-8.585640000000001, 41.148918], [-8.585766, 41.148981], [-8.586053999999999, 41.148990000000005], [-8.586594000000002, 41.149035], [-8.588115, 41.149476], [-8.589753, 41.14992600000001], [-8.591688, 41.150493000000004], [-8.593056, 41.150808], [-8.593155000000001, 41.150673], [-8.593164, 41.150664000000006], [-8.593155000000001, 41.150664000000006], [-8.593758, 41.150934], [-8.594577000000001, 41.151771000000004], [-8.595108, 41.153417999999995], [-8.595378, 41.154399], [-8.595315, 41.15443500000001], [-8.59527, 41.154453000000004], [-8.595414, 41.154650999999994], [-8.595234, 41.155272], [-8.594982, 41.155758], [-8.594783999999999, 41.15616300000001], [-8.594298, 41.157099], [-8.593128, 41.159025], [-8.592236999999999, 41.16051], [-8.591463000000001, 41.16166200000001], [-8.590734, 41.16257100000001], [-8.590032, 41.163408], [-8.589690000000001, 41.163768], [-8.589699, 41.16375000000001], [-8.589672, 41.163777], [-8.589303, 41.16420000000001], [-8.589231, 41.164308], [-8.589141000000001, 41.164559999999994], [-8.589123, 41.164632], [-8.589087, 41.16474], [-8.588907, 41.165217000000005], [-8.588475, 41.166315], [-8.588106, 41.167152], [-8.588078999999999, 41.167197], [-8.587728, 41.168025], [-8.587359000000001, 41.16879899999999], [-8.587341, 41.168817], [-8.587269, 41.16897], [-8.586369000000001, 41.170688999999996]]","[153264, 153265, 50659, 50907, 92875, 92877, 92879, 92881, 141454, 141454, 141454, 141453, 147650, 147652, 147652, 147652, 147652, 147652, 171601, 153285, 153286, 153282, 153277, 147663, 153304, 153359, 147661, 153356, 153356, 153356, 135233, 142840, 142840, 142840, 142840, 142843, 153343, 153344, 153344, 147467, 147463, 147463, 3130, 42587]"
"[[-8.585685000000002, 41.148558], [-8.585757000000001, 41.148666], [-8.585721, 41.148801000000006], [-8.585973000000001, 41.14897200000001], [-8.586486, 41.148990000000005], [-8.587404000000001, 41.149197], [-8.588664, 41.149557], [-8.590347, 41.150006999999995], [-8.592021, 41.150475], [-8.593083, 41.150781], [-8.593353, 41.150709], [-8.593353, 41.150691], [-8.593353, 41.1507], [-8.593335, 41.150735999999995], [-8.593326, 41.150745], [-8.593515000000002, 41.150808], [-8.594370000000001, 41.15124], [-8.594757, 41.152329], [-8.595189, 41.153445], [-8.595468000000002, 41.15439000000001], [-8.595180000000001, 41.155398000000005], [-8.59473, 41.15619], [-8.594091, 41.157351], [-8.593407000000001, 41.15862], [-8.594082, 41.158926], [-8.594757, 41.159151], [-8.595783, 41.159475], [-8.595774, 41.159808000000005], [-8.594397, 41.160258], [-8.594433, 41.1606], [-8.596755, 41.160906], [-8.59896, 41.161176], [-8.600112000000001, 41.16129300000001], [-8.600094, 41.161319999999996], [-8.600463, 41.161086000000005], [-8.600859000000002, 41.160006], [-8.601039, 41.159646], [-8.601066, 41.15961], [-8.601084, 41.159556]]","[50660, 3481, 153264, 50659, 50907, 50908, 92875, 92878, 92879, 92881, 141454, 141454, 141454, 141454, 92881, 141454, 147650, 147650, 147652, 147652, 171601, 153286, 153282, 153278, 778, 779, 779, 144884, 144885, 461, 462, 463, 463, 463, 142871, 142871, 142870, 142870, 142870]"
"[[-8.61111, 41.14944], [-8.611137000000001, 41.149404], [-8.610858, 41.149278], [-8.610867, 41.149269], [-8.610858, 41.149287], [-8.610237000000001, 41.149575], [-8.610183000000001, 41.149962], [-8.610309, 41.15052], [-8.610129, 41.150727], [-8.610129, 41.150745], [-8.610129, 41.150754], [-8.610120000000002, 41.150763], [-8.609499000000001, 41.15151], [-8.610002999999999, 41.152302000000006], [-8.610048, 41.153373], [-8.6094, 41.15452500000001], [-8.609265, 41.15538], [-8.609445000000001, 41.15628], [-8.609238, 41.157387], [-8.60886, 41.15799], [-8.608275, 41.159277], [-8.607492, 41.160923999999994], [-8.606295000000001, 41.16411]]","[78729, 78729, 31353, 31353, 31353, 15207, 15208, 15209, 165451, 165451, 165451, 165451, 6188, 107137, 93364, 95167, 3660, 3661, 142401, 6189, 6190, 23740, 93959]"
"[[-8.606285999999999, 41.144625000000005], [-8.606663999999999, 41.144724], [-8.607123, 41.14503], [-8.607123, 41.145048], [-8.607312, 41.14524600000001], [-8.607410999999999, 41.145588000000004], [-8.607078, 41.145939], [-8.607051, 41.146407], [-8.607051, 41.14642500000001], [-8.606997, 41.146515], [-8.606934, 41.146668], [-8.606907, 41.146659], [-8.606961, 41.14665000000001], [-8.606943000000001, 41.146659], [-8.606943000000001, 41.146668], [-8.606889, 41.146866], [-8.607348000000002, 41.147136], [-8.607942000000001, 41.14724400000001], [-8.608113000000001, 41.147307], [-8.609229000000001, 41.147594999999995], [-8.610335999999998, 41.147784], [-8.61039, 41.147766], [-8.610876000000001, 41.148207], [-8.610759000000002, 41.14856699999999], [-8.610651, 41.148846], [-8.610218999999999, 41.14992600000001], [-8.610335999999998, 41.150394], [-8.610354000000001, 41.150394], [-8.610318000000001, 41.150547], [-8.609778, 41.151168], [-8.609517, 41.151465], [-8.609868, 41.151888], [-8.609994, 41.153022], [-8.609724, 41.154165000000006], [-8.609292, 41.155280999999995], [-8.60931, 41.156946], [-8.609202, 41.157422999999994], [-8.608554, 41.15875499999999], [-8.607753, 41.16047400000001], [-8.606367, 41.163885], [-8.606295000000001, 41.164182000000004], [-8.606412, 41.166054], [-8.606412, 41.16861], [-8.604792, 41.170716000000006], [-8.602056000000001, 41.171238], [-8.599068, 41.17120200000001], [-8.596854000000002, 41.171157], [-8.59527, 41.171930999999994], [-8.594055, 41.174693999999995], [-8.593191000000001, 41.178447], [-8.593038000000002, 41.182218], [-8.594046, 41.18555700000001], [-8.594567999999999, 41.18925599999999]]","[745, 745, 93457, 93457, 93457, 93457, 93458, 66996, 66996, 66996, 66996, 66996, 66996, 66996, 66996, 66996, 165306, 165306, 6457, 87913, 119441, 119441, 164861, 164861, 164864, 15208, 15209, 15209, 15209, 165453, 6188, 156907, 107137, 175191, 3660, 3662, 6189, 6189, 165360, 93959, 93959, 177525, 93979, 153055, 147206, 147180, 118883, 3128, 5094, 122258, 122260, 95414, 122275]"
"[[-8.649531000000001, 41.167197], [-8.64963, 41.167170000000006], [-8.64981, 41.166647999999995], [-8.649909000000001, 41.166639], [-8.649909000000001, 41.166621], [-8.649882000000002, 41.166603], [-8.648982, 41.16614400000001], [-8.647731, 41.165991000000005], [-8.646651, 41.16574800000001], [-8.64486, 41.165451], [-8.644059, 41.16532500000001], [-8.642241, 41.164965], [-8.64018, 41.164649999999995], [-8.638452000000001, 41.164551], [-8.637372000000001, 41.164488000000006], [-8.637345, 41.164497], [-8.637354, 41.164488000000006], [-8.636499, 41.16429], [-8.634717, 41.163705], [-8.633331, 41.163011999999995], [-8.632647, 41.162265000000005], [-8.632728, 41.162229]]","[153445, 97040, 97039, 97039, 97039, 97039, 4693, 4693, 4691, 147339, 97044, 97046, 92928, 139329, 139330, 139330, 139330, 141399, 139610, 93986, 143154, 143154]"
"[[-8.630667, 41.207364], [-8.634770999999999, 41.206716], [-8.638641000000002, 41.205555], [-8.642457, 41.204475], [-8.646651, 41.203467], [-8.650701000000002, 41.203737000000004], [-8.651664, 41.206455000000005], [-8.651790000000002, 41.209712999999994], [-8.653086000000002, 41.212719], [-8.654841, 41.215662], [-8.657433, 41.21838], [-8.660115000000001, 41.221152000000004], [-8.662779, 41.223951], [-8.665191, 41.226516000000004], [-8.667801, 41.228559], [-8.667477, 41.231349], [-8.666604, 41.23368], [-8.667665999999999, 41.235849], [-8.667900000000001, 41.237955], [-8.667837, 41.23863], [-8.667045, 41.238387], [-8.666082, 41.237946], [-8.665875, 41.237424000000004], [-8.665227000000002, 41.237396999999994], [-8.664714, 41.237811], [-8.664714, 41.237802], [-8.664723, 41.237802], [-8.665146, 41.238071999999995], [-8.666883, 41.238431999999996], [-8.667315, 41.238585], [-8.667297000000001, 41.23857600000001], [-8.667306, 41.238567], [-8.667306, 41.238567], [-8.667297000000001, 41.238567], [-8.667279, 41.238558000000005], [-8.667279, 41.238558000000005], [-8.667279, 41.238558000000005], [-8.667279, 41.238558000000005], [-8.667279, 41.238558000000005], [-8.667279, 41.238558000000005], [-8.667279, 41.238558000000005], [-8.667279, 41.238567], [-8.667288, 41.238567], [-8.667288, 41.23857600000001], [-8.667297000000001, 41.238567], [-8.667288, 41.238567], [-8.667279, 41.238567], [-8.667279, 41.238558000000005], [-8.667288, 41.238558000000005], [-8.667288, 41.238567], [-8.667279, 41.23857600000001], [-8.667279, 41.238585], [-8.66727, 41.238585], [-8.667261, 41.23857600000001], [-8.667261, 41.23857600000001], [-8.667261, 41.238567], [-8.66727, 41.238558000000005], [-8.667279, 41.238558000000005], [-8.667279, 41.238567], [-8.667288, 41.23857600000001], [-8.667288, 41.23857600000001], [-8.667288, 41.23857600000001], [-8.667279, 41.23857600000001], [-8.667288, 41.238585], [-8.667288, 41.238585], [-8.667288, 41.238585], [-8.667288, 41.23857600000001], [-8.667288, 41.238567], [-8.667279, 41.238567], [-8.667279, 41.238567], [-8.667279, 41.23857600000001], [-8.667279, 41.23857600000001], [-8.667279, 41.23857600000001], [-8.667288, 41.238585], [-8.667288, 41.238585], [-8.667288, 41.238585], [-8.667279, 41.238594], [-8.66727, 41.238585], [-8.66727, 41.23857600000001], [-8.667279, 41.23857600000001], [-8.667279, 41.23857600000001], [-8.667279, 41.238567], [-8.66763, 41.238612], [-8.669457, 41.239215], [-8.670663000000001, 41.239692000000005], [-8.670555, 41.238702], [-8.670051, 41.236542], [-8.669267999999999, 41.235003], [-8.669169, 41.236262999999994], [-8.669556, 41.237586], [-8.669646, 41.23784700000001], [-8.670006, 41.236956000000006], [-8.669673, 41.235867], [-8.66934, 41.23503], [-8.669034, 41.235839999999996], [-8.669349, 41.237118], [-8.668926, 41.238333000000004], [-8.667909, 41.236416], [-8.666775000000001, 41.23368], [-8.667774, 41.230872], [-8.668665, 41.227677], [-8.668953, 41.224419000000005], [-8.664759, 41.223681000000006], [-8.660871, 41.221674], [-8.657793, 41.21840699999999], [-8.654814, 41.21523], [-8.652879, 41.211702], [-8.651709, 41.207949], [-8.65161, 41.20443900000001], [-8.652366, 41.202549000000005], [-8.656542000000002, 41.201612999999995], [-8.659971, 41.199363000000005], [-8.663616, 41.196726], [-8.666199, 41.193468], [-8.667720000000001, 41.190138000000005], [-8.670411, 41.189022], [-8.668908, 41.187014999999995], [-8.666046, 41.186403], [-8.665173000000001, 41.185746], [-8.664111, 41.184881999999995], [-8.662419, 41.183514], [-8.660709, 41.18211900000001], [-8.659602, 41.181219000000006], [-8.658026999999999, 41.179950000000005], [-8.656272, 41.178564], [-8.654706000000001, 41.177241], [-8.653536, 41.176314000000005], [-8.652681000000001, 41.175612], [-8.652114, 41.175171], [-8.651321999999999, 41.174559], [-8.650034999999999, 41.173488000000006], [-8.648019, 41.171859], [-8.645669999999999, 41.169942], [-8.642916000000001, 41.167746]]","[20161, 20161, 16126, 150169, 150169, 1542, 149807, 20085, 80781, 19911, 20125, 149813, 1509, 129801, 1546, 118055, 19932, 19910, 1076, 129831, 135160, 96791, 129823, 135186, 1490, 1490, 1490, 1491, 1491, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 129809, 131651, 96790, 168487, 81651, 131802, 28894, 28896, 129885, 129885, 129824, 129825, 28894, 28895, 129829, 83211, 81657, 19934, 19925, 129800, 129798, 150207, 150201, 20130, 19916, 19914, 150204, 150203, 168493, 65678, 65679, 65679, 155203, 155225, 20079, 2557, 165036, 156387, 165069, 165063, 156383, 156383, 156382, 156389, 449, 449, 145875, 96077, 96078, 96078, 96078, 156379, 147312]"
"[[-8.619264, 41.16762], [-8.6193, 41.16762], [-8.619264, 41.167629], [-8.619255, 41.167629], [-8.619255, 41.167638], [-8.619551999999999, 41.16761100000001], [-8.620245, 41.167404], [-8.620299000000001, 41.16693599999999], [-8.620416, 41.165982], [-8.620587, 41.164749], [-8.620668, 41.16425399999999], [-8.620794, 41.163255], [-8.620164, 41.162679000000004], [-8.618463, 41.162544000000004], [-8.617356000000001, 41.162436], [-8.615997, 41.162292], [-8.614548000000001, 41.16211200000001], [-8.612595, 41.161851], [-8.611866, 41.161788], [-8.611866, 41.161806000000006], [-8.611686, 41.161779], [-8.610066, 41.16157199999999], [-8.608239, 41.161203], [-8.607185999999999, 41.161014], [-8.606133, 41.160789], [-8.605233, 41.160609], [-8.605737, 41.159772000000004], [-8.606069999999999, 41.159231999999996], [-8.605053, 41.158881], [-8.604477, 41.158962], [-8.604513, 41.159079], [-8.604531000000001, 41.159097], [-8.604638999999999, 41.15907000000001], [-8.604638999999999, 41.159052], [-8.604683999999999, 41.159025], [-8.604693000000001, 41.159025], [-8.604747, 41.158989], [-8.604711, 41.158998]]","[6367, 6367, 6367, 6367, 6367, 6367, 6358, 6358, 6358, 140700, 140701, 142887, 142879, 142880, 142881, 142844, 142848, 142852, 142853, 142853, 142854, 586, 142857, 142860, 142860, 142860, 15217, 15217, 3470, 81, 81, 81, 81, 81, 81, 81, 3470, 81]"
"[[-8.585747999999999, 41.148495000000004], [-8.585747999999999, 41.148593999999996], [-8.585766, 41.148774], [-8.585694, 41.148882], [-8.585766, 41.148954], [-8.585882999999999, 41.148962999999995], [-8.586405000000001, 41.149008], [-8.587791, 41.149296], [-8.589546, 41.149773], [-8.591427000000001, 41.15028600000001], [-8.592075, 41.150466], [-8.59284, 41.150673], [-8.594019, 41.150925], [-8.595531, 41.150141999999995], [-8.596098, 41.149818], [-8.597484, 41.148945]]","[3480, 3480, 153260, 153264, 153265, 50659, 172477, 50908, 92876, 92879, 92879, 92880, 157043, 128844, 128844, 128844]"
"[[-8.574696, 41.142708], [-8.574668999999998, 41.142888], [-8.575254, 41.142951], [-8.575857000000001, 41.143275], [-8.575308000000001, 41.143887], [-8.573616000000001, 41.143950000000004], [-8.574363, 41.144067], [-8.576559, 41.144364], [-8.578071, 41.144652], [-8.579961, 41.143905]]","[150944, 150944, 150944, 150944, 98604, 1182, 493, 98599, 1174, 104015]"
"[[-8.582184, 41.180057999999995], [-8.582301000000001, 41.179671], [-8.58285, 41.177871], [-8.583912, 41.175666], [-8.584092, 41.175368999999996], [-8.584533, 41.174549999999996], [-8.585523, 41.172471], [-8.586324000000001, 41.170967999999995], [-8.586747, 41.170104], [-8.587161, 41.16933900000001], [-8.587206, 41.169312], [-8.587206, 41.169321000000004], [-8.587404000000001, 41.168943000000006], [-8.587701, 41.168825999999996], [-8.587728, 41.168825999999996], [-8.587881000000001, 41.168835], [-8.588025, 41.168853], [-8.588574000000001, 41.168835], [-8.588853, 41.168682], [-8.589078, 41.168592]]","[635, 635, 119589, 153361, 81114, 153362, 151651, 153366, 153369, 153372, 153372, 153372, 151652, 696, 696, 697, 697, 697, 697, 697]"
"[[-8.601182999999999, 41.181885], [-8.601165, 41.181903000000005], [-8.601165, 41.181903000000005], [-8.601093, 41.182047], [-8.601363000000001, 41.182668], [-8.600985, 41.183055], [-8.599185, 41.18256], [-8.597691, 41.182145999999996], [-8.597637, 41.182128], [-8.597655, 41.182128], [-8.597637, 41.182128], [-8.597637, 41.182137], [-8.597034, 41.182074], [-8.594892, 41.181515999999995], [-8.592264, 41.180454000000005], [-8.590113, 41.179733999999996], [-8.588421, 41.17958099999999], [-8.586386999999998, 41.179860000000005], [-8.584218, 41.181290999999995], [-8.583534, 41.181236999999996], [-8.583516000000001, 41.18121], [-8.583543, 41.181192], [-8.583534, 41.181147], [-8.583552, 41.181155999999994]]","[80701, 80701, 80701, 80702, 119668, 135204, 93136, 93137, 93137, 93137, 93137, 93137, 146167, 146170, 3125, 95411, 93734, 93734, 119661, 5691, 5691, 5691, 119662, 119662]"
"[[-8.606402999999998, 41.144814], [-8.606394, 41.144805], [-8.606529, 41.144706], [-8.606493, 41.144724], [-8.606475, 41.144724], [-8.606565000000002, 41.144625000000005], [-8.606556000000001, 41.144642999999995], [-8.606754, 41.144760000000005], [-8.606691, 41.14478700000001], [-8.607015, 41.144796], [-8.608049999999999, 41.14338300000001], [-8.60814, 41.143167], [-8.60814, 41.143158], [-8.606673, 41.142312000000004], [-8.605098, 41.143482], [-8.60472, 41.143977], [-8.603316, 41.143454999999996], [-8.602029000000002, 41.142447000000004], [-8.601488999999999, 41.139936000000006], [-8.601227999999999, 41.137884], [-8.601246, 41.137911], [-8.601264, 41.137875], [-8.601804, 41.137389]]","[756, 756, 745, 745, 745, 745, 745, 756, 756, 93457, 3468, 3469, 3469, 93878, 147679, 739, 741, 85269, 85269, 85246, 85246, 85246, 21351]"
"[[-8.606538, 41.144777999999995], [-8.606529, 41.144733], [-8.606501999999999, 41.144742], [-8.606529, 41.144715000000005], [-8.606529, 41.144697], [-8.606501999999999, 41.144697], [-8.606988, 41.144895], [-8.607357, 41.145309], [-8.607357, 41.145633000000004], [-8.607204000000001, 41.145795], [-8.607222, 41.145777], [-8.607087000000002, 41.145984], [-8.60715, 41.146308], [-8.607015, 41.146569], [-8.606970000000002, 41.146659], [-8.606916, 41.146803000000006], [-8.606817, 41.146911], [-8.606781, 41.146911], [-8.606817, 41.146911], [-8.606853, 41.146938000000006], [-8.606853, 41.14695600000001], [-8.607348000000002, 41.14728], [-8.608176, 41.14737900000001], [-8.608257, 41.14737900000001], [-8.608545000000001, 41.147532000000005], [-8.609480999999999, 41.147757000000006], [-8.610399, 41.147838], [-8.610678, 41.14773], [-8.610921, 41.148387], [-8.610930000000002, 41.14856699999999], [-8.610822, 41.148864], [-8.610363, 41.149989], [-8.610354000000001, 41.15042999999999], [-8.610372, 41.150448], [-8.61021, 41.15065499999999], [-8.609679, 41.15124899999999], [-8.609544000000001, 41.1516], [-8.610002999999999, 41.15206800000001], [-8.610039, 41.153202], [-8.609769, 41.154192], [-8.609418, 41.155452000000004], [-8.609390999999999, 41.156937], [-8.609211, 41.157405000000004], [-8.608446, 41.158863], [-8.607519000000002, 41.160762000000005], [-8.606285999999999, 41.164587], [-8.606367, 41.165693999999995], [-8.606421000000001, 41.16611699999999], [-8.606501999999999, 41.166891], [-8.606439, 41.16879], [-8.60481, 41.17068], [-8.602029000000002, 41.171192999999995], [-8.598186, 41.171355], [-8.596152, 41.170959], [-8.594928, 41.172669000000006], [-8.593731, 41.175531], [-8.593146, 41.179067999999994], [-8.593164, 41.182821], [-8.594433, 41.186727]]","[756, 745, 745, 745, 745, 745, 93457, 93457, 93457, 93458, 93458, 93458, 66996, 66996, 66996, 66996, 66996, 66996, 66996, 66996, 66996, 165306, 165308, 165308, 95406, 131488, 119441, 87915, 164861, 164861, 172253, 15208, 15209, 15209, 165451, 165453, 6188, 156907, 93364, 175191, 3660, 3662, 6189, 6189, 23739, 93960, 177525, 177525, 101439, 101438, 153055, 147206, 147205, 118883, 122251, 5094, 122258, 122260, 95414]"
"[[-8.585712000000001, 41.148603], [-8.585712000000001, 41.148612], [-8.585747999999999, 41.148765000000004], [-8.585694, 41.14892699999999], [-8.586018000000001, 41.148981], [-8.587188000000001, 41.149143], [-8.589195, 41.149674000000005], [-8.591616, 41.150331], [-8.593091999999999, 41.150718000000005], [-8.593083, 41.150727], [-8.593101, 41.150718000000005], [-8.593191000000001, 41.150745], [-8.593281, 41.150772], [-8.594109000000001, 41.15065499999999], [-8.59374, 41.149485000000006], [-8.594505, 41.149071], [-8.595918000000001, 41.148765000000004], [-8.59599, 41.148621], [-8.595468000000002, 41.147613], [-8.595189, 41.146227], [-8.596214999999999, 41.146065], [-8.598708, 41.145948000000004], [-8.601443999999999, 41.145741], [-8.601723, 41.145705], [-8.601732, 41.145678], [-8.601714, 41.145686999999995]]","[50660, 50660, 153260, 153265, 50659, 50907, 92876, 92879, 92881, 92881, 92881, 92881, 92881, 835, 835, 828, 830, 93172, 834, 834, 115586, 103944, 103942, 95951, 95951, 95951]"
"[[-8.613522, 41.162148], [-8.613522, 41.162121], [-8.61354, 41.162022], [-8.613486, 41.161967999999995], [-8.613396, 41.162031], [-8.612991, 41.161896], [-8.612631, 41.162058], [-8.612181, 41.162841], [-8.612505, 41.162994000000005], [-8.614161, 41.163273000000004], [-8.614638, 41.163219000000005], [-8.616042, 41.163426], [-8.618121, 41.163669000000006], [-8.620254000000001, 41.164001999999996], [-8.620362, 41.163993000000005], [-8.620956, 41.164100999999995], [-8.623494, 41.164407], [-8.624538, 41.164488000000006], [-8.624628, 41.164353000000006], [-8.624654999999999, 41.16429], [-8.625303, 41.164866], [-8.626437000000001, 41.164874999999995], [-8.627823, 41.164929], [-8.629452, 41.165145]]","[6418, 6418, 142849, 142849, 142849, 113638, 6315, 163716, 177518, 143269, 163719, 163721, 163723, 6342, 6342, 177113, 142764, 142765, 142765, 142765, 101681, 168488, 6400, 142769]"
"[[-8.613972, 41.134085999999996], [-8.613972, 41.134077], [-8.613981, 41.134077], [-8.61399, 41.134095], [-8.614062, 41.13429300000001], [-8.614080000000001, 41.13429300000001], [-8.614224, 41.134671000000004], [-8.614386000000001, 41.135292], [-8.613981, 41.135814], [-8.614728, 41.136489], [-8.614926, 41.136903], [-8.614953, 41.137119], [-8.614737, 41.137361999999996], [-8.613855000000001, 41.137596], [-8.61336, 41.13770400000001], [-8.612883, 41.137839], [-8.612766, 41.137866], [-8.611911, 41.138055], [-8.611056, 41.138262], [-8.610237000000001, 41.138658], [-8.609832, 41.13885600000001], [-8.6094, 41.138982], [-8.609211, 41.139216000000005], [-8.609607, 41.140359000000004], [-8.609661000000001, 41.140637999999996], [-8.61039, 41.141079], [-8.613054, 41.141565], [-8.613504, 41.141421], [-8.613999, 41.141268000000004], [-8.614305, 41.141727], [-8.614089, 41.142771], [-8.612910000000001, 41.143698], [-8.612307, 41.144139], [-8.612271, 41.144157], [-8.612055, 41.144319], [-8.611974, 41.144382], [-8.611839, 41.144472], [-8.611839, 41.144481000000006], [-8.611848, 41.144481000000006], [-8.611668, 41.144652], [-8.611218, 41.144967]]","[171400, 171400, 171400, 171400, 171400, 171400, 171400, 171400, 171400, 31368, 31368, 31368, 31368, 31368, 31368, 31368, 31368, 31364, 31364, 161605, 161605, 161608, 166444, 81933, 81933, 165448, 492, 96994, 96994, 94840, 94797, 94796, 94795, 94795, 158938, 158938, 158938, 158938, 158938, 158938, 111186]"
"[[-8.628201, 41.157378], [-8.62821, 41.157387], [-8.628246, 41.157368999999996], [-8.628264, 41.157351], [-8.628174000000001, 41.15751300000001], [-8.627013, 41.157576], [-8.625411000000001, 41.157324], [-8.625150000000001, 41.157234], [-8.624907, 41.157081]]","[156897, 156897, 156897, 156897, 156897, 680, 680, 685, 3298]"
"[[-8.585595000000001, 41.148531], [-8.585676, 41.148666], [-8.585703, 41.148846], [-8.58582, 41.148962999999995], [-8.585955, 41.14897200000001], [-8.587026000000002, 41.149053], [-8.589357000000001, 41.149683], [-8.591895, 41.150385], [-8.593443, 41.150754], [-8.593416000000001, 41.150745], [-8.593407000000001, 41.150772]]","[50660, 3481, 153264, 50659, 50659, 141459, 92876, 92879, 141454, 141454, 92881]"
"[[-8.660421, 41.172516], [-8.660421, 41.172516], [-8.660286000000001, 41.172282], [-8.660142, 41.172084], [-8.660124000000001, 41.17207500000001], [-8.660313, 41.172426], [-8.660502000000001, 41.173623000000006], [-8.660709, 41.17520699999999], [-8.660592000000001, 41.175621], [-8.659457999999999, 41.176197], [-8.657765999999999, 41.176224000000005], [-8.656704000000001, 41.17599], [-8.655606, 41.176251], [-8.654814, 41.175855000000006], [-8.653761, 41.174991], [-8.653293000000001, 41.174991], [-8.652078000000001, 41.174991], [-8.651943, 41.17492800000001], [-8.651763, 41.174802], [-8.651673, 41.174739], [-8.650665, 41.173965], [-8.649792000000001, 41.173254], [-8.648298, 41.172066], [-8.647209, 41.171166], [-8.645967, 41.170167], [-8.644446, 41.168925], [-8.643474, 41.167044], [-8.641512, 41.16614400000001], [-8.640405000000001, 41.168178000000005], [-8.639019000000001, 41.169329999999995], [-8.637426, 41.170356], [-8.634555, 41.171364], [-8.631603, 41.172003000000004], [-8.628066, 41.17274999999999], [-8.624313, 41.173182000000004], [-8.620155, 41.173587], [-8.616078000000002, 41.174028], [-8.612559, 41.174451000000005], [-8.608986, 41.173812], [-8.607447, 41.172867000000004], [-8.606421000000001, 41.172165], [-8.605197, 41.171679000000005], [-8.60445, 41.171526], [-8.603334, 41.171409000000004], [-8.601336, 41.171192999999995], [-8.599401, 41.171211], [-8.598852, 41.171301], [-8.59788, 41.171490000000006], [-8.595863999999999, 41.171796], [-8.594973, 41.171715000000006], [-8.594127, 41.17133700000001], [-8.59293, 41.170508999999996], [-8.590878, 41.169194999999995], [-8.588565000000001, 41.167845], [-8.585541000000001, 41.166549], [-8.582804999999999, 41.16537], [-8.582193, 41.163471], [-8.581752000000002, 41.16321000000001], [-8.581644, 41.16321000000001], [-8.581517999999999, 41.16321000000001], [-8.581392000000001, 41.16323700000001], [-8.580888000000002, 41.163588], [-8.580654000000001, 41.163903000000005], [-8.579943, 41.16402], [-8.578791, 41.164749], [-8.577396, 41.165667000000006], [-8.577072000000001, 41.166198], [-8.576955000000002, 41.166396], [-8.576946, 41.166405000000005], [-8.576946, 41.166405000000005], [-8.576937, 41.166414], [-8.576784, 41.166621], [-8.576019, 41.167179], [-8.574714, 41.16783600000001], [-8.573526, 41.168754], [-8.572113000000002, 41.169375], [-8.5707, 41.16992400000001], [-8.570601, 41.169717000000006]]","[101825, 101825, 101829, 179079, 179079, 101827, 101813, 176562, 141431, 141424, 3766, 102001, 8094, 8095, 8096, 3807, 145816, 145816, 96078, 96078, 96078, 96078, 96078, 156380, 156380, 147320, 3053, 20108, 147316, 26565, 26565, 26565, 147358, 142705, 147353, 147368, 602, 602, 147389, 147391, 147391, 147391, 147391, 147391, 147206, 147180, 147205, 118880, 118881, 118881, 147204, 147204, 147202, 147200, 147462, 149572, 4137, 149569, 4137, 149570, 149570, 149571, 81323, 148260, 149467, 81275, 81159, 81159, 81159, 81159, 81159, 81157, 81157, 81157, 4066, 4069, 81374, 27493]"
